name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,100.0,0,5e-8,2,adamw,gradient,0.8935643564356436,0.3222543352601156,0.10643564356435642
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,80.0,0,5e-8,2,adamw,update,0.6377708978328174,0.4956647398843931,0.3622291021671826
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,80.0,0,5e-8,2,adamw,gradient,0.9071207430340558,0.29624277456647397,0.09287925696594423
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,60.0,0,5e-8,2,adamw,update,0.6157024793388429,0.5014450867052023,0.3842975206611571
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,60.0,0,5e-8,2,adamw,gradient,0.8925619834710744,0.32514450867052025,0.1074380165289256
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,40.0,0,5e-8,2,adamw,update,0.654320987654321,0.5,0.345679012345679
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,40.0,0,5e-8,2,adamw,gradient,0.925925925925926,0.2947976878612717,0.07407407407407396
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,20.0,0,5e-8,2,adamw,update,0.5802469135802469,0.5,0.41975308641975306
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,20.0,0,5e-8,2,adamw,gradient,0.9506172839506172,0.3063583815028902,0.049382716049382824
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optadamw-maskupdate,cnl,10.0,0,5e-8,2,adamw,update,0.675,0.5014450867052023,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep2-optadamw-maskgradient,cnl,10.0,0,5e-8,2,adamw,gradient,1.0,0.3179190751445087,0.0
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,100.0,0,5e-8,1,sgd,update,0.6485148514851485,0.5086705202312138,0.35148514851485146
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,100.0,0,5e-8,1,sgd,gradient,0.6485148514851485,0.5086705202312138,0.35148514851485146
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,80.0,0,5e-8,1,sgd,update,0.6470588235294118,0.5101156069364162,0.3529411764705882
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,80.0,0,5e-8,1,sgd,gradient,0.6470588235294118,0.5101156069364162,0.3529411764705882
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,60.0,0,5e-8,1,sgd,update,0.6239669421487604,0.5072254335260116,0.37603305785123964
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,60.0,0,5e-8,1,sgd,gradient,0.6239669421487604,0.5072254335260116,0.37603305785123964
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,40.0,0,5e-8,1,sgd,update,0.6790123456790124,0.5086705202312138,0.32098765432098764
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,40.0,0,5e-8,1,sgd,gradient,0.6790123456790124,0.5086705202312138,0.32098765432098764
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,20.0,0,5e-8,1,sgd,update,0.6296296296296297,0.5028901734104047,0.37037037037037035
